id,sam1,sam2,mean,sd,cv,type
1,101.141,108.202,104.671,4.993,4.77,a
1,110.526,115.895,113.211,3.796,3.353,b
1,97.877,103.791,100.834,4.182,4.148,c
2,48.459,49.383,48.921,0.654,1.336,a
2,46.729,48.51,47.62,1.26,2.645,b
2,42.394,43.802,43.098,0.995,2.309,c
3,26.465,31.484,28.974,3.55,12.25,a
3,38.093,36.247,37.17,1.305,3.511,b
3,42.673,38.36,40.516,3.05,7.527,c
4,232.231,230.09,231.16,1.513,0.655,a
4,211.754,222.167,216.961,7.363,3.394,b
4,235.592,235.501,235.546,0.065,0.028,c
5,182.575,182.824,182.7,0.176,0.096,a
5,160.388,152.035,156.212,5.906,3.781,b
5,175.697,169.863,172.78,4.126,2.388,c
6,,,,,,a
6,,,,,,b
6,,,,,,c
7,,,,,,a
7,,,,,,b
7,,,,,,c
8,,,,,,a
8,,,,,,b
8,,,,,,c
9,,,,,,a
9,,,,,,b
9,,,,,,c
10,,,,,,a
10,,,,,,b
10,,,,,,c
11,,,,,,a
11,,,,,,b
11,,,,,,c
12,,,,,,a
12,,,,,,b
12,,,,,,c
13,,,,,,a
13,,,,,,b
13,,,,,,c
14,,,,,,a
14,,,,,,b
14,,,,,,c
15,,,,,,a
15,,,,,,b
15,,,,,,c
16,,,,,,a
16,,,,,,b
16,,,,,,c
17,,,,,,a
17,,,,,,b
17,,,,,,c
18,,,,,,a
18,,,,,,b
18,,,,,,c
19,,,,,,a
19,,,,,,b
19,,,,,,c
20,,,,,,a
20,,,,,,b
20,,,,,,c
21,,,,,,a
21,,,,,,b
21,,,,,,c
22,,,,,,a
22,,,,,,b
22,,,,,,c
23,,,,,,a
23,,,,,,b
23,,,,,,c
24,,,,,,a
24,,,,,,b
24,,,,,,c
